DATE OCC,TIME OCC,AREA NAME,Total Score,LAT,LON
2020-01-01,22.0,Southwest,70.0,34.0171,-118.3531
2020-01-01,22.0,Wilshire,70.0,34.0837,-118.3574
2020-01-01,23.0,Southwest,25.0,34.0055,-118.3154
2020-01-01,23.0,Southwest,70.0,34.0099,-118.3089
2020-01-01,23.0,Wilshire,70.0,34.0495,-118.3179
2020-01-02,0.0,Hollywood,25.0,34.1017,-118.3224
2020-01-02,0.0,Mission,70.0,34.2319,-118.4654
2020-01-02,3.0,Hollywood,70.0,34.0908,-118.3266
2020-01-02,4.0,Southwest,70.0,34.0339,-118.2755
2020-01-02,5.0,Wilshire,70.0,34.0558,-118.3706
2020-01-02,6.0,Hollywood,90.0,34.1016,-118.3387
2020-01-02,6.0,Southwest,70.0,34.0133,-118.3486
2020-01-02,7.0,Southwest,45.0,34.0119,-118.3504
2020-01-02,8.0,Wilshire,70.0,34.0802,-118.3574
2020-01-02,9.0,Mission,25.0,34.2265,-118.4654
2020-01-02,10.0,Wilshire,140.0,34.069,-118.3462
2020-01-02,11.0,Hollywood,70.0,34.1006,-118.3417
2020-01-02,12.0,Hollywood,25.0,34.0999,-118.3594
2020-01-02,12.0,Mission,50.0,34.2301,-118.4633
2020-01-02,13.0,Mission,70.0,34.2573,-118.4674
2020-01-02,13.0,Southwest,45.0,34.0278,-118.3609
2020-01-02,13.0,Wilshire,70.0,34.0657,-118.3583
2020-01-02,14.0,Southwest,70.0,34.0168,-118.3491
2020-01-02,14.0,Wilshire,70.0,34.0671,-118.3583
2020-01-02,15.0,Hollywood,70.0,34.103,-118.3225
2020-01-02,16.0,Mission,70.0,34.2247,-118.4553
2020-01-02,18.0,Hollywood,70.0,34.0889,-118.3244
2020-01-02,18.0,Wilshire,70.0,34.0465,-118.3555
2020-01-02,19.0,Southwest,70.0,34.0055,-118.29
2020-01-02,20.0,Mission,45.0,34.3106,-118.4376
2020-01-02,20.0,Mission,90.0,34.3232,-118.4695
2020-01-02,20.0,Southwest,45.0,34.0279,-118.3561
2020-01-02,21.0,Southwest,90.0,34.0146,-118.3232
2020-01-02,22.0,Wilshire,90.0,34.0552,-118.3418
2020-01-02,23.0,Mission,45.0,34.2317,-118.4186
2020-01-02,23.0,Topanga,70.0,34.1705,-118.5792
2020-01-02,23.0,Wilshire,70.0,34.0853,-118.3511
2020-01-03,0.0,Southwest,70.0,34.008,-118.3266
2020-01-03,0.0,Southwest,25.0,34.0174,-118.3251
2020-01-03,0.0,Southwest,70.0,34.0073,-118.298
2020-01-03,1.0,Mission,70.0,34.3007,-118.4747
2020-01-03,2.0,Hollywood,90.0,34.0926,-118.3234
2020-01-03,2.0,Mission,45.0,34.2922,-118.4549
2020-01-03,3.0,Hollywood,70.0,34.0938,-118.3153
2020-01-03,5.0,Mission,70.0,34.2337,-118.4703
2020-01-03,7.0,Hollywood,45.0,34.1018,-118.3035
2020-01-03,7.0,Mission,70.0,34.3275,-118.4247
2020-01-03,8.0,Mission,70.0,34.2391,-118.4502
2020-01-03,8.0,Southwest,50.0,34.0045,-118.3214
2020-01-03,9.0,Mission,70.0,34.3172,-118.4848
2020-01-03,10.0,Mission,25.0,34.2512,-118.4299
2020-01-03,10.0,Topanga,45.0,34.2259,-118.6126
2020-01-03,11.0,Wilshire,70.0,34.069,-118.3462
2020-01-03,12.0,Southwest,70.0,34.0297,-118.3236
2020-01-03,12.0,Topanga,25.0,34.1849,-118.6015
2020-01-03,12.0,Wilshire,70.0,34.0495,-118.3215
2020-01-03,13.0,Wilshire,70.0,34.0429,-118.3329
2020-01-03,14.0,Southwest,70.0,34.0344,-118.3212
2020-01-03,16.0,Hollywood,70.0,34.0908,-118.3046
2020-01-03,16.0,Mission,45.0,34.2573,-118.4696
2020-01-03,16.0,Topanga,45.0,34.2156,-118.6003
2020-01-03,17.0,Southwest,70.0,34.0256,-118.3351
2020-01-03,17.0,Topanga,70.0,34.1443,-118.5933
2020-01-03,18.0,Southwest,70.0,34.0305,-118.3677
2020-01-03,20.0,Southwest,45.0,34.0099,-118.3089
2020-01-03,20.0,Wilshire,45.0,34.073,-118.3509
2020-01-03,21.0,Southwest,70.0,34.0055,-118.2915
2020-01-03,21.0,Topanga,70.0,34.1561,-118.6318
2020-01-03,21.0,Wilshire,50.0,34.0485,-118.3334
2020-01-03,22.0,Topanga,45.0,34.1679,-118.5974
2020-01-03,23.0,Mission,70.0,34.2685,-118.4476
2020-01-03,23.0,Southwest,70.0,34.0073,-118.2948
2020-01-03,23.0,Topanga,45.0,34.1733,-118.5974
2020-01-03,23.0,Wilshire,25.0,34.0364,-118.3625
2020-01-04,0.0,Hollywood,70.0,34.0962,-118.3223
2020-01-04,0.0,Southwest,140.0,34.0075,-118.2819
2020-01-04,0.0,Wilshire,25.0,34.0708,-118.3563
