DATETIME,Total Score,AREA NAME,LAT,LON
2025-01-02 22:00:00,86.12958,Wilshire,34.0552,-118.3418
2025-01-02 23:00:00,83.63688,Mission,34.2317,-118.4186
2025-01-02 23:00:00,86.29682,Topanga,34.1705,-118.5792
2025-01-02 23:00:00,87.41404,Wilshire,34.0853,-118.3511
2025-01-03 00:00:00,79.58115,Southwest,34.008,-118.3266
2025-01-03 01:00:00,77.26479,Mission,34.3007,-118.4747
2025-01-03 02:00:00,80.89237,Hollywood,34.0926,-118.3234
2025-01-03 02:00:00,76.206024,Mission,34.2922,-118.4549
2025-01-03 03:00:00,79.6682,Hollywood,34.0938,-118.3153
2025-01-03 05:00:00,73.89992,Mission,34.2337,-118.4703
2025-01-03 07:00:00,76.1686,Hollywood,34.1018,-118.3035
2025-01-03 07:00:00,70.637085,Mission,34.3275,-118.4247
2025-01-03 08:00:00,71.26939,Mission,34.2391,-118.4502
2025-01-03 08:00:00,73.96937,Southwest,34.0045,-118.3214
2025-01-03 09:00:00,69.70693,Mission,34.3172,-118.4848
2025-01-03 10:00:00,70.369804,Mission,34.2512,-118.4299
2025-01-03 10:00:00,71.232635,Topanga,34.2259,-118.6126
2025-01-03 11:00:00,73.52151,Wilshire,34.069,-118.3462
2025-01-03 12:00:00,74.70554,Southwest,34.0297,-118.3236
2025-01-03 12:00:00,73.08018,Topanga,34.1849,-118.6015
2025-01-03 12:00:00,74.166824,Wilshire,34.0495,-118.3215
2025-01-03 13:00:00,74.9331,Wilshire,34.0429,-118.3329
2025-01-03 14:00:00,76.548485,Southwest,34.0344,-118.3212
2025-01-03 16:00:00,77.477974,Hollywood,34.0908,-118.3046
2025-01-03 16:00:00,75.05433,Mission,34.2573,-118.4696
2025-01-03 16:00:00,76.126274,Topanga,34.2156,-118.6003
2025-01-03 17:00:00,79.99393,Southwest,34.0256,-118.3351
2025-01-03 17:00:00,78.305595,Topanga,34.1443,-118.5933
2025-01-03 18:00:00,81.365395,Southwest,34.0305,-118.3677
2025-01-03 20:00:00,83.96964,Southwest,34.0099,-118.3089
2025-01-03 20:00:00,82.50503,Wilshire,34.073,-118.3509
2025-01-03 21:00:00,85.37519,Southwest,34.0055,-118.2915
2025-01-03 21:00:00,83.72869,Topanga,34.1561,-118.6318
2025-01-03 21:00:00,84.452965,Wilshire,34.0485,-118.3334
2025-01-03 22:00:00,84.80018,Topanga,34.1679,-118.5974
2025-01-03 23:00:00,83.14032,Mission,34.2685,-118.4476
2025-01-03 23:00:00,88.236984,Southwest,34.0073,-118.2948
2025-01-03 23:00:00,86.29221,Topanga,34.1733,-118.5974
2025-01-03 23:00:00,88.17704,Wilshire,34.0364,-118.3625
2025-01-04 00:00:00,83.31715,Hollywood,34.0962,-118.3223
2025-01-04 00:00:00,79.353935,Southwest,34.0075,-118.2819
2025-01-04 00:00:00,73.48144,Wilshire,34.0708,-118.3563
2025-01-04 01:00:00,82.016304,Hollywood,34.0958,-118.3109
2025-01-04 02:00:00,72.2566,Wilshire,34.0853,-118.3428
2025-01-04 03:00:00,75.02595,Mission,34.3023,-118.4769
2025-01-04 04:00:00,75.445885,Southwest,34.0256,-118.3224
2025-01-04 06:00:00,72.960075,Mission,34.2231,-118.4553
2025-01-04 07:00:00,70.92716,Mission,34.3061,-118.4383
2025-01-04 10:00:00,74.754326,Hollywood,34.0926,-118.3234
2025-01-04 10:00:00,73.88012,Southwest,34.0326,-118.3416
2025-01-04 11:00:00,74.69493,Hollywood,34.098,-118.3332
2025-01-04 11:00:00,69.86942,Mission,34.306,-118.4413
2025-01-04 11:00:00,74.204094,Southwest,34.0149,-118.3045
2025-01-04 11:00:00,72.277596,Topanga,34.1935,-118.6425
2025-01-04 11:00:00,74.10731,Wilshire,34.0351,-118.3779
2025-01-04 12:00:00,74.96126,Southwest,34.0232,-118.3701
2025-01-04 12:00:00,73.099396,Topanga,34.1888,-118.6369
2025-01-04 14:00:00,75.89737,Hollywood,34.0933,-118.3025
2025-01-04 14:00:00,73.703575,Mission,34.2248,-118.4516
2025-01-04 14:00:00,75.11686,Wilshire,34.0853,-118.3474
2025-01-04 15:00:00,77.69991,Southwest,34.0256,-118.3374
2025-01-04 15:00:00,75.211845,Topanga,34.2083,-118.5885
2025-01-04 16:00:00,74.434006,Mission,34.2875,-118.455
2025-01-04 16:00:00,78.607506,Southwest,34.0181,-118.2846
2025-01-04 18:00:00,81.156425,Southwest,34.0146,-118.2872
2025-01-04 18:00:00,78.58704,Topanga,34.2011,-118.5906
2025-01-04 20:00:00,81.44228,Hollywood,34.0907,-118.3404
2025-01-04 20:00:00,84.11805,Southwest,34.0093,-118.3437
2025-01-04 21:00:00,82.42158,Hollywood,34.0935,-118.3245
2025-01-04 21:00:00,82.88429,Topanga,34.1974,-118.6044
2025-01-04 22:00:00,83.65015,Hollywood,34.0907,-118.3384
2025-01-04 22:00:00,86.45781,Southwest,34.0291,-118.3066
2025-01-04 22:00:00,84.53677,Topanga,34.1865,-118.6146
2025-01-04 23:00:00,84.79203,Hollywood,34.0998,-118.3479
2025-01-04 23:00:00,88.25387,Southwest,34.0142,-118.3281
2025-01-05 00:00:00,83.17567,Hollywood,34.0994,-118.3093
2025-01-05 00:00:00,78.13447,Mission,34.3007,-118.4228
2025-01-05 00:00:00,79.32336,Southwest,34.0109,-118.3002
2025-01-05 01:00:00,78.16784,Mission,34.2247,-118.4699
2025-01-05 01:00:00,73.25306,Topanga,34.2198,-118.6003
2025-01-05 03:00:00,79.51272,Hollywood,34.1016,-118.3348
2025-01-05 04:00:00,78.74885,Hollywood,34.0835,-118.3288
2025-01-05 06:00:00,73.654274,Southwest,34.0364,-118.3058
2025-01-05 09:00:00,73.76115,Southwest,34.0109,-118.2915
2025-01-05 09:00:00,71.373634,Topanga,34.1865,-118.6256
2025-01-05 10:00:00,74.469734,Hollywood,34.107,-118.3214
2025-01-05 11:00:00,71.67811,Topanga,34.2136,-118.5912
2025-01-05 13:00:00,72.80944,Mission,34.2231,-118.4553
2025-01-05 13:00:00,75.77361,Southwest,34.0241,-118.3351
2025-01-05 13:00:00,73.57509,Topanga,34.2047,-118.6016
2025-01-05 14:00:00,75.68017,Hollywood,34.1185,-118.3542
2025-01-05 14:00:00,74.861694,Topanga,34.1798,-118.6104
2025-01-05 14:00:00,75.8257,Wilshire,34.0375,-118.3742
2025-01-05 15:00:00,77.92329,Southwest,34.0045,-118.3214
2025-01-05 15:00:00,75.59542,Topanga,34.1829,-118.6044
2025-01-05 16:00:00,78.80026,Southwest,34.0191,-118.3351
2025-01-05 17:00:00,77.97941,Hollywood,34.0981,-118.3136
2025-01-05 17:00:00,78.11613,Wilshire,34.0746,-118.3765
2025-01-05 19:00:00,78.55205,Mission,34.2314,-118.4409
2025-01-05 20:00:00,81.572876,Topanga,34.1937,-118.6272
2025-01-05 20:00:00,82.721565,Wilshire,34.0485,-118.3335
2025-01-05 21:00:00,82.304474,Hollywood,34.1016,-118.3361
2025-01-05 21:00:00,81.324234,Mission,34.2102,-118.4267
2025-01-05 21:00:00,82.805435,Topanga,34.1974,-118.5994
2025-01-05 21:00:00,84.46136,Wilshire,34.0459,-118.3454
2025-01-05 22:00:00,81.6462,Mission,34.2758,-118.4479
2025-01-05 22:00:00,86.86343,Southwest,34.0055,-118.3182
