DATE OCC,TIME OCC,Total Score,AREA NAME,LAT,LON
2025-01-03,5.0,70.0,Mission,34.2337,-118.4703
2025-01-03,7.0,45.0,Hollywood,34.1018,-118.3035
2025-01-03,7.0,70.0,Mission,34.3275,-118.4247
2025-01-03,8.0,70.0,Mission,34.2391,-118.4502
2025-01-03,8.0,50.0,Southwest,34.0045,-118.3214
2025-01-03,9.0,70.0,Mission,34.3172,-118.4848
2025-01-03,10.0,25.0,Mission,34.2512,-118.4299
2025-01-03,10.0,45.0,Topanga,34.2259,-118.6126
2025-01-03,11.0,70.0,Wilshire,34.069,-118.3462
2025-01-03,12.0,70.0,Southwest,34.0297,-118.3236
2025-01-03,12.0,25.0,Topanga,34.1849,-118.6015
2025-01-03,12.0,70.0,Wilshire,34.0495,-118.3215
2025-01-03,13.0,70.0,Wilshire,34.0429,-118.3329
2025-01-03,14.0,70.0,Southwest,34.0344,-118.3212
2025-01-03,16.0,70.0,Hollywood,34.0908,-118.3046
2025-01-03,16.0,45.0,Mission,34.2573,-118.4696
2025-01-03,16.0,45.0,Topanga,34.2156,-118.6003
2025-01-03,17.0,70.0,Southwest,34.0256,-118.3351
2025-01-03,17.0,70.0,Topanga,34.1443,-118.5933
2025-01-03,18.0,70.0,Southwest,34.0305,-118.3677
2025-01-03,20.0,45.0,Southwest,34.0099,-118.3089
2025-01-03,20.0,45.0,Wilshire,34.073,-118.3509
2025-01-03,21.0,70.0,Southwest,34.0055,-118.2915
2025-01-03,21.0,70.0,Topanga,34.1561,-118.6318
2025-01-03,21.0,50.0,Wilshire,34.0485,-118.3334
2025-01-03,22.0,45.0,Topanga,34.1679,-118.5974
2025-01-03,23.0,70.0,Mission,34.2685,-118.4476
2025-01-03,23.0,70.0,Southwest,34.0073,-118.2948
2025-01-03,23.0,45.0,Topanga,34.1733,-118.5974
2025-01-03,23.0,25.0,Wilshire,34.0364,-118.3625
2025-01-04,0.0,70.0,Hollywood,34.0962,-118.3223
2025-01-04,0.0,140.0,Southwest,34.0075,-118.2819
2025-01-04,0.0,95.0,Wilshire,34.0708,-118.3563
2025-01-04,1.0,70.0,Hollywood,34.0958,-118.3109
2025-01-04,2.0,90.0,Wilshire,34.0853,-118.3428
2025-01-04,3.0,45.0,Mission,34.3023,-118.4769
2025-01-04,4.0,45.0,Southwest,34.0256,-118.3224
2025-01-04,6.0,45.0,Mission,34.2231,-118.4553
2025-01-04,7.0,45.0,Mission,34.3061,-118.4383
2025-01-04,10.0,140.0,Hollywood,34.0926,-118.3234
2025-01-04,10.0,140.0,Southwest,34.0326,-118.3416
2025-01-04,11.0,70.0,Hollywood,34.098,-118.3332
2025-01-04,11.0,160.0,Mission,34.306,-118.4413
2025-01-04,11.0,70.0,Southwest,34.0149,-118.3045
2025-01-04,11.0,70.0,Topanga,34.1935,-118.6425
2025-01-04,11.0,70.0,Wilshire,34.0351,-118.3779
2025-01-04,12.0,70.0,Southwest,34.0232,-118.3701
2025-01-04,12.0,75.0,Topanga,34.1888,-118.6369
2025-01-04,14.0,70.0,Hollywood,34.0933,-118.3025
2025-01-04,14.0,45.0,Mission,34.2248,-118.4516
2025-01-04,14.0,115.0,Wilshire,34.0853,-118.3474
2025-01-04,15.0,45.0,Southwest,34.0256,-118.3374
2025-01-04,15.0,70.0,Topanga,34.2083,-118.5885
2025-01-04,16.0,45.0,Mission,34.2875,-118.455
2025-01-04,16.0,95.0,Southwest,34.0181,-118.2846
2025-01-04,18.0,70.0,Southwest,34.0146,-118.2872
2025-01-04,18.0,70.0,Topanga,34.2011,-118.5906
2025-01-04,20.0,70.0,Hollywood,34.0907,-118.3404
2025-01-04,20.0,140.0,Southwest,34.0093,-118.3437
2025-01-04,21.0,45.0,Hollywood,34.0935,-118.3245
2025-01-04,21.0,70.0,Topanga,34.1974,-118.6044
2025-01-04,22.0,70.0,Hollywood,34.0907,-118.3384
2025-01-04,22.0,140.0,Southwest,34.0291,-118.3066
2025-01-04,22.0,70.0,Topanga,34.1865,-118.6146
2025-01-04,23.0,45.0,Hollywood,34.0998,-118.3479
2025-01-04,23.0,140.0,Southwest,34.0142,-118.3281
2025-01-05,0.0,140.0,Hollywood,34.0994,-118.3093
2025-01-05,0.0,90.0,Mission,34.3007,-118.4228
2025-01-05,0.0,70.0,Southwest,34.0109,-118.3002
2025-01-05,1.0,70.0,Mission,34.2247,-118.4699
2025-01-05,1.0,70.0,Topanga,34.2198,-118.6003
2025-01-05,3.0,115.0,Hollywood,34.1016,-118.3348
2025-01-05,4.0,140.0,Hollywood,34.0835,-118.3288
2025-01-05,6.0,70.0,Southwest,34.0364,-118.3058
2025-01-05,9.0,70.0,Southwest,34.0109,-118.2915
2025-01-05,9.0,70.0,Topanga,34.1865,-118.6256
2025-01-05,10.0,45.0,Hollywood,34.107,-118.3214
2025-01-05,11.0,70.0,Topanga,34.2136,-118.5912
2025-01-05,13.0,70.0,Mission,34.2231,-118.4553
2025-01-05,13.0,140.0,Southwest,34.0241,-118.3351
2025-01-05,13.0,25.0,Topanga,34.2047,-118.6016
2025-01-05,14.0,70.0,Hollywood,34.1185,-118.3542
2025-01-05,14.0,25.0,Topanga,34.1798,-118.6104
2025-01-05,14.0,70.0,Wilshire,34.0375,-118.3742
2025-01-05,15.0,140.0,Southwest,34.0045,-118.3214
2025-01-05,15.0,115.0,Topanga,34.1829,-118.6044
2025-01-05,16.0,70.0,Southwest,34.0191,-118.3351
2025-01-05,17.0,45.0,Hollywood,34.0981,-118.3136
2025-01-05,17.0,70.0,Wilshire,34.0746,-118.3765
2025-01-05,19.0,90.0,Mission,34.2314,-118.4409
2025-01-05,20.0,115.0,Topanga,34.1937,-118.6272
2025-01-05,20.0,70.0,Wilshire,34.0485,-118.3335
2025-01-05,21.0,70.0,Hollywood,34.1016,-118.3361
2025-01-05,21.0,45.0,Mission,34.2102,-118.4267
2025-01-05,21.0,70.0,Topanga,34.1974,-118.5994
2025-01-05,21.0,70.0,Wilshire,34.0459,-118.3454
2025-01-05,22.0,45.0,Mission,34.2758,-118.4479
2025-01-05,22.0,210.0,Southwest,34.0055,-118.3182
2025-01-05,22.0,45.0,Wilshire,34.0374,-118.3279
2025-01-05,23.0,70.0,Hollywood,34.1038,-118.3267
2025-01-06,0.0,45.0,Mission,34.2389,-118.4536
2025-01-06,1.0,45.0,Topanga,34.1701,-118.6277
2025-01-06,2.0,45.0,Hollywood,34.0962,-118.3415
2025-01-06,2.0,70.0,Southwest,34.0219,-118.3045
2025-01-06,3.0,45.0,Mission,34.23,-118.4402
2025-01-06,4.0,45.0,Hollywood,34.1006,-118.3417
2025-01-06,5.0,70.0,Hollywood,34.1035,-118.3147
2025-01-06,6.0,140.0,Topanga,34.1847,-118.5888
2025-01-06,8.0,25.0,Mission,34.3077,-118.4598
2025-01-06,8.0,70.0,Southwest,34.0146,-118.313
2025-01-06,9.0,25.0,Hollywood,34.1,-118.3056
2025-01-06,9.0,25.0,Topanga,34.2234,-118.5932
2025-01-06,10.0,25.0,Wilshire,34.0783,-118.3543
2025-01-06,11.0,70.0,Hollywood,34.0908,-118.3277
2025-01-06,11.0,70.0,Mission,34.2425,-118.44
2025-01-06,11.0,70.0,Wilshire,34.0761,-118.3563
2025-01-06,12.0,25.0,Hollywood,34.0944,-118.3593
2025-01-06,12.0,70.0,Mission,34.3108,-118.4282
2025-01-06,12.0,140.0,Southwest,34.0219,-118.3045
2025-01-06,13.0,45.0,Southwest,34.0311,-118.2749
2025-01-06,13.0,70.0,Wilshire,34.0623,-118.344
2025-01-06,14.0,210.0,Wilshire,34.0375,-118.3742
2025-01-06,15.0,25.0,Hollywood,34.0929,-118.3048
2025-01-06,15.0,70.0,Mission,34.239,-118.4481
2025-01-06,16.0,45.0,Southwest,34.0146,-118.3311
2025-01-06,16.0,45.0,Wilshire,34.0403,-118.3764
2025-01-06,17.0,70.0,Hollywood,34.1017,-118.3224
2025-01-06,17.0,70.0,Southwest,34.0149,-118.3524
2025-01-06,18.0,185.0,Southwest,34.0072,-118.3373
2025-01-06,18.0,160.0,Wilshire,34.0708,-118.3563
2025-01-06,19.0,45.0,Mission,34.2215,-118.4588
2025-01-06,19.0,45.0,Southwest,34.0303,-118.3299
2025-01-06,19.0,45.0,Topanga,34.2029,-118.5943
2025-01-06,20.0,45.0,Mission,34.2428,-118.4675
2025-01-06,20.0,45.0,Topanga,34.1938,-118.5884
2025-01-06,20.0,70.0,Wilshire,34.0459,-118.3374
2025-01-06,21.0,70.0,Hollywood,34.1036,-118.3049
2025-01-06,22.0,45.0,Mission,34.2454,-118.4505
2025-01-06,22.0,70.0,Southwest,34.0169,-118.3161
2025-01-06,22.0,70.0,Wilshire,34.0761,-118.3626
2025-01-06,23.0,70.0,Hollywood,34.1016,-118.3333
2025-01-06,23.0,70.0,Southwest,34.0183,-118.3536
2025-01-07,0.0,140.0,Hollywood,34.0997,-118.335
2025-01-07,0.0,70.0,Mission,34.233,-118.4386
2025-01-07,0.0,25.0,Wilshire,34.0762,-118.3543
2025-01-07,6.0,70.0,Mission,34.2572,-118.4543
2025-01-07,7.0,45.0,Topanga,34.2047,-118.6044
2025-01-07,7.0,25.0,Wilshire,34.0418,-118.3248
2025-01-07,8.0,50.0,Wilshire,34.0511,-118.3373
2025-01-07,10.0,90.0,Topanga,34.1611,-118.6299
2025-01-07,11.0,70.0,Topanga,34.22,-118.5885
2025-01-07,12.0,70.0,Hollywood,34.0994,-118.3093
2025-01-07,12.0,90.0,Mission,34.3061,-118.4383
2025-01-07,12.0,25.0,Topanga,34.1912,-118.5941
2025-01-07,12.0,115.0,Wilshire,34.0364,-118.3601
